FX,FY,FZ,Yaw,Pitch,Roll
-0.154365,-0.081954,-0.024548,-0.036591,-0.109581,0.069564
-0.154365,-0.081954,-0.024548,-0.037064,-0.105409,0.069970
-0.154365,-0.081954,-0.024548,-0.040793,-0.102207,0.070812
-0.195297,-0.068538,0.382844,-0.048543,-0.098226,0.072808
-0.195297,-0.068538,0.382844,-0.051605,-0.096870,0.073651
-0.130101,-0.069932,0.389843,-0.053857,-0.092337,0.075444
-0.130101,-0.069932,0.389843,-0.049209,-0.087614,0.075930
-0.130101,-0.069932,0.389843,-0.039611,-0.084042,0.076749
-0.104387,-0.066362,0.213545,-0.037728,-0.077262,0.077467
-0.104387,-0.066362,0.213545,-0.042578,-0.070223,0.078562
-0.104387,-0.066362,0.213545,-0.045301,-0.065726,0.078776
-0.078549,-0.065771,0.031360,-0.043570,-0.060331,0.077831
-0.078549,-0.065771,0.031360,-0.031387,-0.056666,0.077130
-0.018305,-0.065711,0.035580,-0.023753,-0.055874,0.076035
-0.018305,-0.065711,0.035580,-0.014345,-0.055163,0.072943
-0.014191,-0.060255,-0.037670,-0.000361,-0.055557,0.070475
-0.014191,-0.060255,-0.037670,0.015939,-0.056360,0.067207
-0.014191,-0.060255,-0.037670,0.034251,-0.054986,0.064385
-0.045938,-0.055477,-0.089437,0.041211,-0.051314,0.064383
-0.045938,-0.055477,-0.089437,0.043435,-0.045635,0.063327
-0.052870,-0.058353,0.046474,0.047398,-0.043811,0.063397
-0.052870,-0.058353,0.046474,0.051824,-0.041388,0.063234
-0.052870,-0.058353,0.046474,0.053168,-0.040148,0.065561
-0.042446,-0.058459,0.046953,0.048585,-0.037935,0.066063
-0.042446,-0.058459,0.046953,0.047696,-0.036348,0.067336
-0.029425,-0.063507,0.047321,0.047059,-0.032642,0.066079
-0.029425,-0.063507,0.047321,0.057711,-0.028009,0.062003
-0.036228,-0.078451,0.274230,0.080485,-0.018893,0.066335
-0.036228,-0.078451,0.274230,0.075939,-0.020764,0.068264
-0.036228,-0.078451,0.274230,0.063024,-0.018287,0.065644
-0.036228,-0.078451,0.274230,0.062339,-0.012663,0.061910
-0.036228,-0.078451,0.274230,0.078493,-0.010945,0.058099
-0.036228,-0.078451,0.274230,0.084420,-0.009183,0.058514
-0.036228,-0.078451,0.274230,0.080831,-0.007172,0.056653
-0.036228,-0.078451,0.274230,0.084962,-0.006665,0.056297
-0.036228,-0.078451,0.274230,0.089736,-0.007070,0.056881
-0.036228,-0.078451,0.274230,0.090670,-0.005906,0.057540
-0.036228,-0.078451,0.274230,0.084557,-0.005525,0.061357
-0.125777,-1.430090,19.691473,0.089016,-0.003932,0.063621
-0.125777,-1.430090,19.691473,0.091430,-0.003008,0.065743
-0.125777,-1.430090,19.691473,0.094555,0.001567,0.067425
0.658923,-2.689575,33.692863,0.101521,0.004902,0.069206
0.658923,-2.689575,33.692863,0.101995,0.007323,0.073978
1.431777,-5.774900,70.931610,0.104616,0.008364,0.077844
1.431777,-5.774900,70.931610,0.106763,0.008851,0.080821
1.626647,-6.688479,70.848946,0.107485,0.009920,0.087489
1.626647,-6.688479,70.848946,0.109057,0.011016,0.095031
1.626647,-6.688479,70.848946,0.114373,0.011819,0.104060
2.038404,-10.073009,88.626129,0.115899,0.013080,0.112238
2.038404,-10.073009,88.626129,0.115918,0.013679,0.116440
3.111930,-13.544471,102.479881,0.115282,0.017100,0.126934
3.111930,-13.544471,102.479881,0.117442,0.019206,0.133958
3.111930,-13.544471,102.479881,0.123740,0.018881,0.141878
3.769881,-15.841738,107.445114,0.129276,0.017094,0.149936
3.769881,-15.841738,107.445114,0.130827,0.016145,0.153198
3.459305,-18.440502,114.698456,0.136464,0.012158,0.163915
3.459305,-18.440502,114.698456,0.134254,0.012080,0.171011
3.459305,-18.440502,114.698456,0.126303,0.012207,0.184688
3.573898,-22.104525,121.878212,0.123669,0.012062,0.194233
