FX,FY,FZ,Yaw,Pitch,Roll
-0.927621,0.110960,1.931843,0.151821,-0.236464,0.002212
-0.936570,0.117961,1.927578,0.151635,-0.239463,-0.000641
-0.936570,0.117961,1.927578,0.154275,-0.243749,-0.004702
-0.936570,0.117961,1.927578,0.155272,-0.245226,-0.006460
-0.983955,0.140672,1.995994,0.158146,-0.247013,-0.010767
-0.983955,0.140672,1.995994,0.167062,-0.247272,-0.017243
-1.008237,0.172977,2.082336,0.177100,-0.247071,-0.022555
-1.008237,0.172977,2.082336,0.191255,-0.246689,-0.026710
-1.008237,0.172977,2.082336,0.195254,-0.246623,-0.027331
-1.008237,0.172977,2.082336,0.200258,-0.246414,-0.026791
-1.008237,0.172977,2.082336,0.201232,-0.245953,-0.022787
-1.008237,0.172977,2.082336,0.200333,-0.244121,-0.018797
-1.008237,0.172977,2.082336,0.199515,-0.241411,-0.012196
-1.008237,0.172977,2.082336,0.198771,-0.240434,-0.009592
-1.008237,0.172977,2.082336,0.197576,-0.238789,-0.004716
-1.008237,0.172977,2.082336,0.197442,-0.237907,0.000460
-1.008237,0.172977,2.082336,0.199033,-0.238635,0.004012
-0.883237,0.087659,1.600365,0.198329,-0.239906,0.008550
-0.883237,0.087659,1.600365,0.197302,-0.240666,0.010256
-0.883237,0.087659,1.600365,0.195760,-0.241977,0.012739
-1.001252,0.069038,1.885776,0.196638,-0.244623,0.014558
-1.001252,0.069038,1.885776,0.198118,-0.246804,0.015199
-1.048914,0.089237,2.063854,0.200429,-0.248572,0.016413
-1.048914,0.089237,2.063854,0.200381,-0.248750,0.017039
-1.048914,0.089237,2.063854,0.199486,-0.249745,0.018716
-1.071500,0.097879,2.118423,0.195446,-0.252299,0.020534
-1.071500,0.097879,2.118423,0.193166,-0.255256,0.021082
-1.060486,0.096171,2.118313,0.191311,-0.260042,0.019898
-1.060486,0.096171,2.118313,0.190853,-0.262181,0.019015
-1.059283,0.103847,2.035067,0.190989,-0.265865,0.015877
-1.059283,0.103847,2.035067,0.194973,-0.270277,0.010355
-1.059283,0.103847,2.035067,0.201045,-0.272646,0.005466
-1.102404,0.133213,2.017388,0.207350,-0.275178,0.001150
-1.102404,0.133213,2.017388,0.209287,-0.276502,0.000496
-1.097124,0.138733,1.957561,0.209741,-0.278905,-0.000315
-1.097124,0.138733,1.957561,0.208628,-0.281568,0.000486
-1.097124,0.138733,1.957561,0.205268,-0.282397,0.001914
-1.067762,0.132851,1.859469,0.206023,-0.282135,0.002989
-1.067762,0.132851,1.859469,0.206912,-0.282227,0.003757
-0.960317,0.088420,1.537664,0.207082,-0.281636,0.005209
-0.960317,0.088420,1.537664,0.203458,-0.282185,0.007858
-0.962187,0.070101,1.536784,0.202710,-0.282864,0.008674
-0.962187,0.070101,1.536784,0.207601,-0.283067,0.008603
-0.962187,0.070101,1.536784,0.212646,-0.282967,0.007895
-0.971401,0.071204,1.567828,0.214600,-0.282579,0.007396
-0.971401,0.071204,1.567828,0.220380,-0.280975,0.005064
-0.971401,0.071204,1.567828,0.224879,-0.280746,0.003417
-0.971401,0.071204,1.567828,0.229613,-0.281395,0.001778
-0.971401,0.071204,1.567828,0.230550,-0.282364,0.001414
-0.971401,0.071204,1.567828,0.229420,-0.283637,0.001954
-0.971401,0.071204,1.567828,0.222721,-0.286147,0.003302
-0.971401,0.071204,1.567828,0.218630,-0.288037,0.004223
-0.971401,0.071204,1.567828,0.213139,-0.290064,0.004309
-0.971401,0.071204,1.567828,0.208179,-0.291794,0.003837
-0.971401,0.071204,1.567828,0.202956,-0.291240,0.002844
-1.225419,0.141948,2.156189,0.199111,-0.289887,0.000821
-1.225419,0.141948,2.156189,0.199739,-0.288921,-0.001763
-1.225419,0.141948,2.156189,0.200826,-0.288365,-0.003808
-1.219497,0.155829,2.158586,0.198926,-0.288124,-0.003634
-1.219497,0.155829,2.158586,0.197109,-0.287623,-0.003453
-1.204190,0.170910,2.212868,0.193473,-0.286620,-0.003094
-1.204190,0.170910,2.212868,0.187058,-0.286488,-0.003704
-1.204190,0.170910,2.212868,0.177774,-0.286475,-0.005713
-1.202887,0.177122,2.213089,0.171790,-0.286720,-0.008217
-1.202887,0.177122,2.213089,0.170419,-0.287235,-0.010898
-1.208665,0.172700,2.180052,0.170036,-0.288527,-0.013144
-1.208665,0.172700,2.180052,0.170460,-0.290634,-0.014671
-1.220592,0.182789,2.172777,0.167973,-0.294106,-0.014589
-1.220592,0.182789,2.172777,0.164233,-0.297716,-0.013937
-1.220592,0.182789,2.172777,0.160033,-0.301246,-0.011374
-1.267997,0.172018,2.153861,0.152546,-0.303694,-0.009377
-1.267997,0.172018,2.153861,0.149209,-0.306707,-0.008559
-1.335382,0.177189,2.311956,0.150101,-0.307490,-0.014987
-1.335382,0.177189,2.311956,0.160940,-0.298508,-0.022824
-1.335382,0.177189,2.311956,0.169248,-0.290609,-0.026892
-1.361258,0.182448,2.293435,0.179160,-0.271621,-0.031606
-1.361258,0.182448,2.293435,0.170445,-0.307079,-0.025530
-1.246762,0.178493,2.338807,0.153401,-0.302908,-0.023584
-1.246762,0.178493,2.338807,0.145744,-0.307327,-0.022223
-1.042096,0.149640,2.405404,0.130715,-0.307831,-0.014463
-1.042096,0.149640,2.405404,0.097393,-0.310092,-0.002117
-1.042096,0.149640,2.405404,0.057392,-0.310443,0.014381
-5.687334,-0.217991,18.202795,0.057005,-0.304044,0.015605
-5.687334,-0.217991,18.202795,0.069514,-0.302136,0.013221
-5.687334,-0.217991,18.202795,0.068209,-0.300529,0.013462
-5.687334,-0.217991,18.202795,0.056705,-0.295607,0.014396
-5.687334,-0.217991,18.202795,0.067200,-0.286073,0.005109
-5.687334,-0.217991,18.202795,0.065261,-0.275799,0.004138
-5.687334,-0.217991,18.202795,0.061157,-0.265262,0.003073
-5.687334,-0.217991,18.202795,0.059752,-0.255120,0.001750
-5.687334,-0.217991,18.202795,0.057192,-0.243589,0.003393
-5.687334,-0.217991,18.202795,0.056779,-0.231063,0.004018
-5.687334,-0.217991,18.202795,0.053297,-0.220347,0.003923
-20.221741,-0.088657,92.842018,0.052923,-0.211700,0.001661
-20.221741,-0.088657,92.842018,0.052451,-0.206835,-0.000929
-12.713138,-0.145119,105.889961,0.051968,-0.199648,-0.003578
-12.713138,-0.145119,105.889961,0.047025,-0.188834,-0.004454
-12.713138,-0.145119,105.889961,0.048869,-0.180385,-0.003922
-13.871855,-0.323268,125.705376,0.047802,-0.176663,-0.005728
-13.871855,-0.323268,125.705376,0.043222,-0.167005,-0.004612
-14.052860,-0.137675,142.416809,0.040517,-0.160628,-0.005371
-14.052860,-0.137675,142.416809,0.042876,-0.155332,-0.006560
-13.780393,-0.087502,149.639008,0.038746,-0.150434,-0.006759
-13.780393,-0.087502,149.639008,0.038893,-0.148606,-0.006362
-13.780393,-0.087502,149.639008,0.039984,-0.144442,-0.006480
-13.641540,-0.349688,154.359024,0.037710,-0.137981,-0.004954
-13.641540,-0.349688,154.359024,0.036018,-0.130817,-0.002113
-12.964890,-0.982590,157.221497,0.036168,-0.126949,0.000538
-12.964890,-0.982590,157.221497,0.035770,-0.122459,0.002490
-12.964890,-0.982590,157.221497,0.035788,-0.116312,0.007767
-11.760497,-2.057049,157.289429,0.038613,-0.111972,0.010633
-11.760497,-2.057049,157.289429,0.043148,-0.105907,0.011607
