FX,FY,FZ,Yaw,Pitch,Roll
-0.272503,0.184817,0.190396,0.317820,-0.256074,0.057165
-0.272503,0.184817,0.190396,0.318785,-0.256388,0.056485
-0.333730,0.170113,0.245643,0.322857,-0.256276,0.055223
-0.333730,0.170113,0.245643,0.324718,-0.256424,0.054836
-0.333730,0.170113,0.245643,0.325817,-0.256655,0.055182
-0.333688,0.170423,0.245483,0.322947,-0.256863,0.056671
-0.333688,0.170423,0.245483,0.318498,-0.256559,0.058674
-0.320746,0.167897,0.249432,0.317010,-0.255675,0.059879
-0.320746,0.167897,0.249432,0.316809,-0.255725,0.060283
-0.313498,0.166877,0.221680,0.315290,-0.256667,0.060478
-0.313498,0.166877,0.221680,0.312994,-0.258594,0.059111
-0.313498,0.166877,0.221680,0.313158,-0.260086,0.056460
-0.320200,0.168057,0.218329,0.318165,-0.261945,0.052235
-0.320200,0.168057,0.218329,0.320583,-0.262859,0.050906
-0.360940,0.189369,0.294024,0.322085,-0.264537,0.050094
-0.360940,0.189369,0.294024,0.319890,-0.265314,0.050147
-0.360940,0.189369,0.294024,0.318086,-0.264488,0.051005
-0.374165,0.186448,0.342927,0.317476,-0.262916,0.053219
-0.374165,0.186448,0.342927,0.317114,-0.262301,0.054244
-0.361316,0.173335,0.347199,0.318149,-0.261163,0.055424
-0.361316,0.173335,0.347199,0.319000,-0.260112,0.056478
-0.229159,0.150992,-0.052076,0.321329,-0.259306,0.055264
-0.229159,0.150992,-0.052076,0.326304,-0.258820,0.053793
-0.229159,0.150992,-0.052076,0.328108,-0.258982,0.053420
-0.211974,0.154582,-0.116857,0.329806,-0.259575,0.053626
-0.211974,0.154582,-0.116857,0.331454,-0.261515,0.053659
-0.221175,0.198497,-0.117556,0.333856,-0.263356,0.053607
-0.221175,0.198497,-0.117556,0.338839,-0.266041,0.054249
-0.221175,0.198497,-0.117556,0.340023,-0.266744,0.055275
-0.382018,0.169380,0.371910,0.339262,-0.268631,0.058192
-0.382018,0.169380,0.371910,0.337370,-0.269681,0.060868
-0.351047,0.169587,0.180103,0.336323,-0.269423,0.061948
-0.351047,0.169587,0.180103,0.337418,-0.268260,0.060421
-0.350512,0.170128,0.180636,0.338371,-0.267681,0.059598
-0.350512,0.170128,0.180636,0.339409,-0.267943,0.057633
-0.350512,0.170128,0.180636,0.339999,-0.269194,0.055954
-0.330414,0.171267,0.184707,0.342169,-0.270831,0.054541
-0.330414,0.171267,0.184707,0.345462,-0.274024,0.054151
-0.393732,0.174264,0.403952,0.346034,-0.275210,0.054419
-0.393732,0.174264,0.403952,0.345090,-0.277633,0.056001
-0.393732,0.174264,0.403952,0.342179,-0.277878,0.056886
-0.372832,0.182348,0.240925,0.343631,-0.277684,0.056835
-0.372832,0.182348,0.240925,0.343511,-0.275635,0.055599
-0.324061,0.188975,0.071293,0.343894,-0.275507,0.054660
-0.324061,0.188975,0.071293,0.345886,-0.274533,0.052475
-0.292014,0.182601,0.079304,0.349639,-0.275664,0.051414
-0.292014,0.182601,0.079304,0.351106,-0.277347,0.051474
-0.292014,0.182601,0.079304,0.352872,-0.279919,0.051499
-0.354605,0.170974,0.294626,0.353775,-0.280967,0.051603
-0.354605,0.170974,0.294626,0.354722,-0.282188,0.052718
-0.409142,0.169011,0.318229,0.352315,-0.281749,0.053887
-0.409142,0.169011,0.318229,0.349463,-0.280815,0.054298
-0.409142,0.169011,0.318229,0.350230,-0.280232,0.052723
-0.425876,0.169498,0.313689,0.351370,-0.280552,0.052005
-0.425876,0.169498,0.313689,0.354412,-0.282854,0.049947
-0.425876,0.169498,0.313689,0.357015,-0.284952,0.049132
-0.425876,0.169498,0.313689,0.359534,-0.286864,0.049403
-0.425876,0.169498,0.313689,0.356307,-0.286925,0.051537
-0.425876,0.169498,0.313689,0.353991,-0.286450,0.052447
-0.425876,0.169498,0.313689,0.348976,-0.283686,0.054593
-0.425876,0.169498,0.313689,0.346998,-0.281149,0.054848
-0.425876,0.169498,0.313689,0.347782,-0.278744,0.053531
-0.425876,0.169498,0.313689,0.350054,-0.277742,0.051947
-0.425876,0.169498,0.313689,0.350523,-0.277445,0.051419
-0.354446,0.193516,0.067177,0.351633,-0.277173,0.050145
-0.354446,0.193516,0.067177,0.352806,-0.276676,0.049800
-0.428725,0.198403,0.435719,0.355583,-0.274434,0.048978
-0.428725,0.198403,0.435719,0.361398,-0.277050,0.049602
-0.428725,0.198403,0.435719,0.364772,-0.274979,0.048164
-0.428628,0.198608,0.435720,0.363587,-0.272290,0.050290
-0.428628,0.198608,0.435720,0.356072,-0.270542,0.051689
-0.428628,0.198608,0.435720,0.348456,-0.270034,0.052271
-0.428628,0.198608,0.435720,0.349501,-0.270086,0.049933
-0.428628,0.198608,0.435720,0.354069,-0.270379,0.048118
-0.428628,0.198608,0.435720,0.362897,-0.270029,0.047257
-0.428628,0.198608,0.435720,0.357668,-0.268917,0.048769
-0.428628,0.198608,0.435720,0.336524,-0.266757,0.055609
-0.428628,0.198608,0.435720,0.311882,-0.263222,0.061730
-0.428628,0.198608,0.435720,0.301226,-0.261303,0.064236
-0.428628,0.198608,0.435720,0.283467,-0.254380,0.068069
-2.499485,-0.524220,8.529660,0.277726,-0.249473,0.070603
