FX,FY,FZ,Yaw,Pitch,Roll
-1.502346,-0.243075,6.664612,0.072334,-0.238740,0.026260
-1.502346,-0.243075,6.664612,0.080034,-0.245508,0.026152
-1.593768,-0.248633,6.643053,0.089923,-0.253207,0.023778
-1.593768,-0.248633,6.643053,0.109743,-0.267107,0.018732
-2.002290,-0.158122,7.400123,0.120416,-0.273178,0.016102
-2.002290,-0.158122,7.400123,0.139361,-0.286104,0.012859
-2.002290,-0.158122,7.400123,0.156802,-0.301106,0.009334
-2.241293,-0.062099,7.445805,0.166023,-0.313849,0.008968
-2.241293,-0.062099,7.445805,0.175971,-0.325160,0.007445
-2.241293,-0.062099,7.445805,0.180797,-0.329776,0.006817
-2.241293,-0.062099,7.445805,0.193813,-0.335842,0.004007
-2.241293,-0.062099,7.445805,0.209992,-0.342340,0.001320
-2.241293,-0.062099,7.445805,0.222258,-0.345811,-0.002077
-2.241293,-0.062099,7.445805,0.236931,-0.349767,-0.003610
-2.241293,-0.062099,7.445805,0.240546,-0.351565,-0.003779
-2.241293,-0.062099,7.445805,0.249476,-0.354599,-0.003720
-2.241293,-0.062099,7.445805,0.260413,-0.359049,-0.000360
-2.241293,-0.062099,7.445805,0.262198,-0.362972,0.006322
-2.824448,-0.050433,7.296934,0.260689,-0.366802,0.016314
-2.824448,-0.050433,7.296934,0.258661,-0.368645,0.021040
-2.870544,-0.223726,7.099461,0.254433,-0.369348,0.029085
-2.870544,-0.223726,7.099461,0.251875,-0.369330,0.034501
-2.870544,-0.223726,7.099461,0.246426,-0.367401,0.038226
-2.854745,-0.317976,7.102267,0.231455,-0.366638,0.042784
-2.854745,-0.317976,7.102267,0.226219,-0.366824,0.042938
-3.018309,-0.352213,7.513880,0.220263,-0.367994,0.040358
-3.018309,-0.352213,7.513880,0.221297,-0.368285,0.037357
-3.369498,-0.303849,8.429827,0.218521,-0.367792,0.038574
-3.369498,-0.303849,8.429827,0.194299,-0.367289,0.052943
-3.369498,-0.303849,8.429827,0.181746,-0.364620,0.059260
-3.337409,-0.488567,8.434356,0.182307,-0.360111,0.060052
-3.337409,-0.488567,8.434356,0.202215,-0.361058,0.056518
-2.957787,-0.339000,7.443961,0.209375,-0.361938,0.051567
-2.957787,-0.339000,7.443961,0.201975,-0.360002,0.052518
-2.957787,-0.339000,7.443961,0.196726,-0.358159,0.053847
-2.784134,-0.495500,7.199727,0.186100,-0.354555,0.058075
-2.784134,-0.495500,7.199727,0.176126,-0.353637,0.063343
-2.751802,-0.589078,7.205070,0.167368,-0.352402,0.067466
-2.751802,-0.589078,7.205070,0.172529,-0.351729,0.065123
-2.749309,-0.560310,7.208384,0.182089,-0.350918,0.061625
-2.749309,-0.560310,7.208384,0.186454,-0.350126,0.059848
-2.749309,-0.560310,7.208384,0.186553,-0.347640,0.059830
-2.588561,-0.514134,6.881968,0.179515,-0.344581,0.062800
-2.588561,-0.514134,6.881968,0.172181,-0.342003,0.065906
-2.555199,-0.562633,6.890637,0.168942,-0.341453,0.067149
-2.555199,-0.562633,6.890637,0.168696,-0.341159,0.066675
-2.555199,-0.562633,6.890637,0.171953,-0.341716,0.065561
-2.555123,-0.537635,6.892642,0.180563,-0.342228,0.060242
-2.555123,-0.537635,6.892642,0.183752,-0.343096,0.058331
-2.480182,-0.471021,6.584193,0.182121,-0.342596,0.057454
