timestamp,FX,FY,FZ,Yaw,Pitch,Roll
1669656374865,0.319411,0.876990,8.489100,0.149948,0.054355,-0.052939
1669656374896,0.321178,0.873030,8.489227,0.150224,0.054504,-0.053170
1669656374937,0.321178,0.873030,8.489227,0.150473,0.054545,-0.053650
1669656374976,0.321178,0.873030,8.489227,0.150241,0.054791,-0.053761
1669656375019,0.328040,0.886394,8.587364,0.150735,0.055074,-0.054094
1669656375057,0.328040,0.886394,8.587364,0.150740,0.054988,-0.054591
1669656375097,0.340331,0.912767,8.807651,0.151149,0.055410,-0.055165
1669656375136,0.340331,0.912767,8.807651,0.151155,0.055541,-0.055278
1669656375168,0.341703,0.924047,8.835705,0.151274,0.055431,-0.055405
1669656375216,0.341703,0.924047,8.835705,0.151516,0.055550,-0.055267
1669656375251,0.341703,0.924047,8.835705,0.151631,0.055422,-0.055151
1669656375297,0.340089,0.922921,8.835895,0.151623,0.055283,-0.054916
1669656375336,0.340089,0.922921,8.835895,0.151379,0.055579,-0.054044
1669656375367,0.340671,0.897791,8.821441,0.151498,0.055893,-0.053282
1669656375416,0.340671,0.897791,8.821441,0.151341,0.056171,-0.052159
1669656375451,0.340671,0.897791,8.821441,0.151452,0.056025,-0.051799
1669656375483,0.341734,0.860265,8.721347,0.151321,0.056194,-0.050810
1669656375534,0.341734,0.860265,8.721347,0.151299,0.055888,-0.049975
1669656375577,0.343530,0.850918,8.789261,0.151521,0.055596,-0.049254
1669656375615,0.343530,0.850918,8.789261,0.151643,0.055824,-0.048989
1669656375651,0.343530,0.850918,8.789261,0.151750,0.055660,-0.048385
1669656375683,0.337416,0.850495,8.804733,0.151743,0.055633,-0.048020
1669656375735,0.337416,0.850495,8.804733,0.151853,0.055591,-0.047407
1669656375767,0.338296,0.861431,8.924019,0.151974,0.055706,-0.047272
1669656375817,0.338296,0.861431,8.924019,0.152207,0.055572,-0.047031
1669656375856,0.330866,0.867321,8.953274,0.151964,0.055558,-0.046916
1669656375896,0.330866,0.867321,8.953274,0.151837,0.055528,-0.046554
1669656375935,0.330866,0.867321,8.953274,0.151836,0.055632,-0.046301
1669656375977,0.325376,0.859869,8.954292,0.151949,0.055494,-0.046063
1669656376016,0.325376,0.859869,8.954292,0.152315,0.055633,-0.046165
1669656376055,0.323340,0.858442,8.927358,0.152315,0.055633,-0.046165
1669656376084,0.323340,0.858442,8.927358,0.152433,0.055514,-0.046170
1669656376136,0.323340,0.858442,8.927358,0.152433,0.055626,-0.046040
1669656376168,0.318473,0.854394,8.927870,0.152670,0.055613,-0.045789
1669656376216,0.318473,0.854394,8.927870,0.152657,0.055343,-0.045441
1669656376250,0.319709,0.852491,9.018586,0.152781,0.055467,-0.045429
1669656376287,0.319709,0.852491,9.018586,0.152768,0.055196,-0.045081
1669656376336,0.318406,0.849243,9.018939,0.152999,0.055052,-0.044718
1669656376377,0.318406,0.849243,9.018939,0.153110,0.054906,-0.044358
1669656376415,0.318406,0.849243,9.018939,0.153105,0.054775,-0.044245
1669656376452,0.314572,0.831209,9.018437,0.153100,0.054757,-0.044001
1669656376497,0.314572,0.831209,9.018437,0.153090,0.054495,-0.043776
1669656376538,0.309414,0.825396,8.982940,0.152933,0.054340,-0.043421
1669656376578,0.309414,0.825396,8.982940,0.153044,0.053978,-0.043444
1669656376617,0.309414,0.825396,8.982940,0.153315,0.053995,-0.043562
1669656376656,0.303209,0.828328,8.957820,0.153436,0.053782,-0.043942
1669656376696,0.303209,0.828328,8.957820,0.153441,0.053800,-0.044186
1669656376735,0.300810,0.835036,8.982677,0.153450,0.053949,-0.044542
1669656376776,0.300810,0.835036,8.982677,0.153693,0.053963,-0.044657
1669656376817,0.300810,0.835036,8.982677,0.153459,0.054098,-0.044898
1669656376857,0.289096,0.840564,8.995473,0.153590,0.054362,-0.045120
1669656376884,0.289096,0.840564,8.995473,0.153717,0.054505,-0.045351
1669656376936,0.292980,0.846030,9.025660,0.153593,0.054268,-0.045495
1669656376967,0.292980,0.846030,9.025660,0.153703,0.053681,-0.045781
1669656377016,0.287191,0.841111,9.056607,0.151788,0.055218,-0.045717
1669656377051,0.287191,0.841111,9.056607,0.149727,0.059769,-0.045077
1669656377084,0.287191,0.841111,9.056607,0.147657,0.064192,-0.044335
1669656377136,0.391298,0.824251,9.120878,0.146583,0.071234,-0.042279
1669656377185,0.391298,0.824251,9.120878,0.143380,0.083835,-0.039819
1669656377217,0.612669,0.779544,9.111660,0.146568,0.098888,-0.038782
1669656377257,0.612669,0.779544,9.111660,0.148360,0.111141,-0.038348
1669656377287,0.612669,0.779544,9.111660,0.151439,0.128724,-0.036592
1669656377336,1.040473,0.696916,8.069765,0.153529,0.153659,-0.036719
1669656377368,1.040473,0.696916,8.069765,0.162254,0.176225,-0.038799
1669656377416,1.308789,0.647066,6.383168,0.170494,0.196092,-0.038869
1669656377457,1.308789,0.647066,6.383168,0.178977,0.223927,-0.039834
1669656377484,1.308789,0.647066,6.383168,0.200078,0.263558,-0.042228
1669656377534,1.126579,0.538415,3.291316,0.221743,0.294121,-0.041819
1669656377567,1.126579,0.538415,3.291316,0.234217,0.315575,-0.040487
