timestamp,FX,FY,FZ,Yaw,Pitch,Roll
1669654256619,0.559510,2.071072,12.500156,0.412034,0.063346,-0.069714
1669654256639,0.559510,2.071072,12.500156,0.411911,0.062573,-0.069004
1669654256680,0.537427,2.050093,12.671768,0.411720,0.062108,-0.068601
1669654256719,0.537427,2.050093,12.671768,0.411613,0.061863,-0.068032
1669654256759,0.532111,2.041685,12.731646,0.411298,0.061061,-0.067826
1669654256801,0.532111,2.041685,12.731646,0.411177,0.060675,-0.067785
1669654256827,0.518072,2.039508,12.732641,0.411276,0.060464,-0.067949
1669654256879,0.518072,2.039508,12.732641,0.411259,0.060179,-0.068382
1669654256920,0.518072,2.039508,12.732641,0.411258,0.060204,-0.068502
1669654256958,0.524374,2.070934,12.763580,0.411144,0.060081,-0.068531
1669654256991,0.524374,2.070934,12.763580,0.411153,0.060513,-0.068816
1669654257040,0.533119,2.095681,12.842607,0.411156,0.060850,-0.069245
1669654257081,0.533119,2.095681,12.842607,0.411333,0.060956,-0.069723
1669654257110,0.533119,2.095681,12.842607,0.411341,0.061413,-0.070128
1669654257159,0.544504,2.113135,12.839327,0.411460,0.061849,-0.070408
1669654257200,0.544504,2.113135,12.839327,0.411652,0.062482,-0.071027
1669654257239,0.565385,2.127151,12.843457,0.411663,0.062889,-0.071192
1669654257281,0.565385,2.127151,12.843457,0.411858,0.063691,-0.072025
1669654257321,0.565385,2.127151,12.843457,0.411755,0.064169,-0.072555
1669654257358,0.592502,2.151767,12.838500,0.411646,0.064358,-0.072894
1669654257400,0.592502,2.151767,12.838500,0.411875,0.064797,-0.073169
1669654257439,0.604378,2.164361,12.885171,0.411758,0.064723,-0.073438
1669654257480,0.604378,2.164361,12.885171,0.411755,0.064773,-0.073677
1669654257521,0.606435,2.173704,12.921809,0.411638,0.064506,-0.073612
1669654257559,0.606435,2.173704,12.921809,0.411609,0.063789,-0.073759
1669654257601,0.606435,2.173704,12.921809,0.411811,0.063487,-0.074063
1669654257639,0.584270,2.176120,12.922283,0.411460,0.062854,-0.074081
1669654257678,0.584270,2.176120,12.922283,0.411481,0.062327,-0.073931
1669654257707,0.575853,2.189481,13.126627,0.411251,0.061912,-0.073775
1669654257761,0.575853,2.189481,13.126627,0.411360,0.061529,-0.073102
1669654257799,0.575853,2.189481,13.126627,0.411471,0.061508,-0.072977
1669654257839,0.581345,2.205675,13.447015,0.412124,0.062367,-0.072786
1669654257879,0.581345,2.205675,13.447015,0.412273,0.062312,-0.074294
1669654257920,0.612245,2.250731,13.768567,0.411221,0.062161,-0.075595
1669654257961,0.612245,2.250731,13.768567,0.411241,0.064198,-0.076431
1669654258000,0.612245,2.250731,13.768567,0.412780,0.070582,-0.078721
1669654258040,0.740130,2.315136,13.751646,0.413172,0.088188,-0.080271
1669654258080,0.740130,2.315136,13.751646,0.411321,0.097594,-0.079957
1669654258119,1.079945,2.264406,12.877155,0.409728,0.128759,-0.079170
1669654258161,1.079945,2.264406,12.877155,0.417363,0.172167,-0.076934
1669654258194,1.934717,2.124056,11.452030,0.429822,0.213877,-0.071971
1669654258239,1.934717,2.124056,11.452030,0.440269,0.249511,-0.067919
1669654258280,1.934717,2.124056,11.452030,0.458450,0.297810,-0.061467
1669654258320,2.943561,1.736990,9.350884,0.475836,0.363109,-0.054772
1669654258358,2.943561,1.736990,9.350884,0.483881,0.383429,-0.052758
1669654258393,2.955739,1.541144,7.139582,0.496438,0.428238,-0.047599
1669654258440,2.955739,1.541144,7.139582,0.508039,0.468232,-0.041854
1669654258479,2.955739,1.541144,7.139582,0.519608,0.493260,-0.037670
1669654258510,2.826706,1.307475,5.581398,0.523377,0.509347,-0.039505
1669654258561,2.826706,1.307475,5.581398,0.532596,0.528719,-0.040973
1669654258601,1.814306,1.253528,4.071197,0.538891,0.546958,-0.044712
1669654258639,1.814306,1.253528,4.071197,0.538658,0.549720,-0.045344
1669654258679,1.814306,1.253528,4.071197,0.539985,0.558788,-0.045703
1669654258722,0.635231,1.179927,2.320087,0.537131,0.556160,-0.044583
1669654258761,0.635231,1.179927,2.320087,0.538521,0.555266,-0.046539
1669654258799,0.545426,1.181851,2.371789,0.538361,0.547776,-0.047212
1669654258840,0.545426,1.181851,2.371789,0.543902,0.533545,-0.048586
1669654258879,0.379304,1.186563,2.447883,0.548329,0.514902,-0.051627
1669654258920,0.379304,1.186563,2.447883,0.547886,0.494754,-0.057548
1669654258960,0.379304,1.186563,2.447883,0.536806,0.455105,-0.065798
1669654258990,1.879017,1.486479,6.019914,0.517204,0.403497,-0.075754
1669654259040,1.879017,1.486479,6.019914,0.502936,0.340804,-0.083393
1669654259081,1.154006,1.679020,6.168075,0.495737,0.315886,-0.084528
1669654259119,1.154006,1.679020,6.168075,0.460450,0.240677,-0.085807
1669654259160,1.154006,1.679020,6.168075,0.437906,0.185390,-0.087728
1669654259190,-0.007575,1.614469,5.243705,0.429997,0.142680,-0.087141
1669654259239,-0.007575,1.614469,5.243705,0.425032,0.087248,-0.085420
1669654259280,-0.498107,1.261434,3.248416,0.420276,0.019311,-0.084660
1669654259319,-0.498107,1.261434,3.248416,0.410932,-0.044319,-0.086595
1669654259359,-0.498107,1.261434,3.248416,0.407384,-0.069140,-0.087759
1669654259399,-0.537721,1.055863,1.429817,0.400992,-0.126226,-0.095241
1669654259439,-0.537721,1.055863,1.429817,0.397365,-0.166460,-0.101489
1669654259480,-0.383797,1.074577,1.391995,0.398286,-0.194298,-0.107933
1669654259520,-0.383797,1.074577,1.391995,0.392374,-0.228733,-0.111231
1669654259558,-0.276238,1.259951,1.379969,0.381159,-0.267331,-0.114917
1669654259600,-0.276238,1.259951,1.379969,0.373504,-0.303795,-0.117305
1669654259640,-0.276238,1.259951,1.379969,0.368416,-0.318219,-0.116637
1669654259679,0.387433,1.052238,-0.333194,0.356190,-0.351776,-0.116057
1669654259720,0.387433,1.052238,-0.333194,0.352994,-0.376095,-0.117395
1669654259759,1.351369,0.737877,-2.279948,0.347305,-0.397922,-0.118158
1669654259800,1.351369,0.737877,-2.279948,0.338748,-0.422830,-0.120165
1669654259839,1.351369,0.737877,-2.279948,0.330750,-0.454945,-0.120608
1669654259881,1.752327,0.600125,-2.531071,0.323858,-0.457520,-0.122726
1669654259912,1.752327,0.600125,-2.531071,0.320318,-0.451929,-0.120625
1669654259961,1.916549,0.563953,-2.720905,0.310078,-0.418385,-0.115278
1669654260000,1.916549,0.563953,-2.720905,0.311637,-0.375148,-0.112100
1669654260039,1.916549,0.563953,-2.720905,0.322085,-0.334337,-0.114502
1669654260080,2.566456,0.329991,-4.920640,0.338189,-0.277427,-0.114996
1669654260120,2.566456,0.329991,-4.920640,0.343097,-0.202958,-0.106356
1669654260160,2.711192,-0.111895,-8.014144,0.351878,-0.128560,-0.099305
1669654260202,2.711192,-0.111895,-8.014144,0.355850,-0.098122,-0.096385
1669654260239,1.857290,-0.075978,-8.249949,0.371383,-0.020877,-0.088717
1669654260280,1.857290,-0.075978,-8.249949,0.390778,0.045776,-0.079503
1669654260310,1.857290,-0.075978,-8.249949,0.387183,0.087885,-0.073030
1669654260359,0.136756,0.556078,-2.452877,0.388881,0.113933,-0.066197
1669654260399,0.136756,0.556078,-2.452877,0.388980,0.139910,-0.061877
1669654260439,0.021839,0.898139,0.558009,0.388698,0.144942,-0.062979
1669654260479,0.021839,0.898139,0.558009,0.388243,0.143559,-0.063641
1669654260519,0.021839,0.898139,0.558009,0.388638,0.141510,-0.069138
1669654260559,0.031525,1.223716,3.460843,0.388087,0.139579,-0.073538
1669654260602,0.031525,1.223716,3.460843,0.388343,0.137660,-0.075127
1669654260639,0.510004,1.651433,7.010937,0.388795,0.135904,-0.078181
1669654260683,0.510004,1.651433,7.010937,0.388599,0.132369,-0.079209
1669654260720,0.510004,1.651433,7.010937,0.387892,0.129804,-0.079594
1669654260759,0.690646,1.754331,7.910872,0.386936,0.125881,-0.078740
1669654260799,0.690646,1.754331,7.910872,0.385454,0.120779,-0.076374
1669654260839,1.079396,1.909190,10.055720,0.382437,0.115612,-0.072718
1669654260880,1.079396,1.909190,10.055720,0.381328,0.113875,-0.070973
1669654260919,1.207416,1.975505,11.763062,0.379201,0.110548,-0.066931
1669654260960,1.207416,1.975505,11.763062,0.378706,0.107500,-0.064640
1669654261001,1.207416,1.975505,11.763062,0.378562,0.105713,-0.063724
1669654261040,1.102937,1.892564,11.787729,0.377584,0.103133,-0.062738
1669654261081,1.102937,1.892564,11.787729,0.376183,0.101120,-0.061547
1669654261111,1.059509,1.845311,11.347658,0.375195,0.099363,-0.060291
1669654261160,1.059509,1.845311,11.347658,0.375173,0.098817,-0.060019
1669654261200,1.059509,1.845311,11.347658,0.375795,0.097567,-0.059841
1669654261240,1.042616,1.910028,11.396194,0.375974,0.096351,-0.059931
1669654261281,1.042616,1.910028,11.396194,0.375727,0.095725,-0.059935
1669654261319,1.013929,1.908369,11.399059,0.374885,0.094725,-0.059402
1669654261359,1.013929,1.908369,11.399059,0.373820,0.093827,-0.058115
1669654261399,1.013929,1.908369,11.399059,0.372971,0.092696,-0.056858
1669654261439,1.008754,1.903522,11.806293,0.372662,0.092215,-0.056333
1669654261479,1.008754,1.903522,11.806293,0.372444,0.091190,-0.055529
1669654261520,0.981880,1.894383,11.930600,0.372012,0.090423,-0.054813
1669654261560,0.981880,1.894383,11.930600,0.371583,0.089701,-0.054338
1669654261600,0.952875,1.865284,11.936525,0.371036,0.088812,-0.053650
1669654261639,0.952875,1.865284,11.936525,0.370709,0.087862,-0.052589
1669654261679,0.952875,1.865284,11.936525,0.370049,0.086950,-0.051786
1669654261720,0.961209,1.860296,12.346726,0.369742,0.086492,-0.051380
1669654261759,0.961209,1.860296,12.346726,0.368675,0.085481,-0.050109
1669654261799,0.965462,1.884050,12.657246,0.368025,0.084908,-0.049118
1669654261839,0.965462,1.884050,12.657246,0.367488,0.084283,-0.048505
1669654261880,0.965462,1.884050,12.657246,0.367067,0.083856,-0.047600
1669654261919,0.945255,1.862376,12.662986,0.366869,0.083358,-0.046948
1669654261959,0.945255,1.862376,12.662986,0.366965,0.082912,-0.046526
1669654262001,0.934750,1.855579,12.661805,0.366851,0.082889,-0.046412
1669654262040,0.934750,1.855579,12.661805,0.366834,0.082289,-0.046521
1669654262079,0.934750,1.855579,12.661805,0.366715,0.081971,-0.046833
1669654262119,0.931464,1.865699,12.661106,0.366821,0.081678,-0.047255
1669654262159,0.931464,1.865699,12.661106,0.366811,0.081264,-0.047704
1669654262203,0.926292,1.898448,12.658779,0.366924,0.081288,-0.047819
1669654262239,0.926292,1.898448,12.658779,0.366929,0.081430,-0.047917
1669654262279,0.942431,1.910382,12.830682,0.366819,0.081526,-0.047780
1669654262320,0.942431,1.910382,12.830682,0.366523,0.081353,-0.047570
1669654262361,0.942431,1.910382,12.830682,0.366699,0.081338,-0.047446
1669654262399,0.942173,1.907410,12.896715,0.366706,0.081578,-0.047403
1669654262441,0.942173,1.907410,12.896715,0.366821,0.081624,-0.047638
1669654262479,0.945848,1.904547,12.896336,0.366816,0.081406,-0.047802
1669654262519,0.945848,1.904547,12.896336,0.366922,0.081190,-0.047961
1669654262559,0.945848,1.904547,12.896336,0.367028,0.080974,-0.048120
1669654262599,0.917700,1.892390,12.632007,0.367316,0.080831,-0.048636
1669654262639,0.917700,1.892390,12.632007,0.367020,0.080582,-0.048689
1669654262677,0.902648,1.892776,12.507337,0.367124,0.080344,-0.048728
1669654262719,0.902648,1.892776,12.507337,0.366809,0.081057,-0.048612
1669654262759,0.902648,1.892776,12.507337,0.366404,0.080980,-0.048265
1669654262800,0.902778,1.884360,12.504697,0.366528,0.081495,-0.047669
1669654262840,0.902778,1.884360,12.504697,0.366711,0.081720,-0.047501
1669654262880,0.909827,1.871406,12.509435,0.366956,0.082368,-0.047621
1669654262920,0.909827,1.871406,12.509435,0.366953,0.082193,-0.048026
1669654262959,0.916734,1.875823,12.595069,0.366835,0.081973,-0.048196
1669654262993,0.916734,1.875823,12.595069,0.366707,0.081393,-0.048431
1669654263039,0.916734,1.875823,12.595069,0.366809,0.081057,-0.048612
1669654263080,0.902342,1.882028,12.595063,0.366514,0.080884,-0.048402
1669654263119,0.902342,1.882028,12.595063,0.366616,0.080603,-0.048200
1669654263163,0.875598,1.837546,12.188310,0.366912,0.080906,-0.047764
1669654263200,0.875598,1.837546,12.188310,0.367429,0.081094,-0.047340
1669654263238,0.875598,1.837546,12.188310,0.367769,0.081220,-0.047301
1669654263279,0.850910,1.786980,11.725945,0.368289,0.081321,-0.047763
1669654263320,0.850910,1.786980,11.725945,0.367767,0.080991,-0.048089
1669654263359,0.834283,1.786608,11.579700,0.367756,0.080762,-0.047510
1669654263400,0.834283,1.786608,11.579700,0.367867,0.080742,-0.047384
1669654263439,0.834283,1.786608,11.579700,0.367988,0.081005,-0.047455
